,Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (SDG),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
0,SDGB,SDG Indicators,32,Argentina,6132,Value,SN_ITK_DEFCN,2.1.1 Number of undernourished people (millions),2003,2003,millions,1.7,,,"Global | FAO, Statistics Division | Estimated data | 2002-2004"
1,SDGB,SDG Indicators,32,Argentina,6132,Value,SN_ITK_DEFCN,2.1.1 Number of undernourished people (millions),2004,2004,millions,1.6,,,"Global | FAO, Statistics Division | Estimated data | 2003-2005"
2,SDGB,SDG Indicators,32,Argentina,6132,Value,SN_ITK_DEFCN,2.1.1 Number of undernourished people (millions),2005,2005,millions,1.4,,,"Global | FAO, Statistics Division | Estimated data | 2004-2006"
3,SDGB,SDG Indicators,32,Argentina,6132,Value,SN_ITK_DEFCN,2.1.1 Number of undernourished people (millions),2006,2006,millions,1.3,,,"Global | FAO, Statistics Division | Estimated data | 2005-2007"
4,SDGB,SDG Indicators,32,Argentina,6132,Value,SN_ITK_DEFCN,2.1.1 Number of undernourished people (millions),2007,2007,millions,1.3,,,"Global | FAO, Statistics Division | Estimated data | 2006-2008"
5,SDGB,SDG Indicators,32,Argentina,6132,Value,SN_ITK_DEFCN,2.1.1 Number of undernourished people (millions),2008,2008,millions,1.3,,,"Global | FAO, Statistics Division | Estimated data | 2007-2009"
6,SDGB,SDG Indicators,32,Argentina,6132,Value,SN_ITK_DEFCN,2.1.1 Number of undernourished people (millions),2009,2009,millions,1.3,,,"Global | FAO, Statistics Division | Estimated data | 2008-2010"
7,SDGB,SDG Indicators,32,Argentina,6132,Value,SN_ITK_DEFCN,2.1.1 Number of undernourished people (millions),2010,2010,millions,1.3,,,"Global | FAO, Statistics Division | Estimated data | 2009-2011"
8,SDGB,SDG Indicators,32,Argentina,6132,Value,SN_ITK_DEFCN,2.1.1 Number of undernourished people (millions),2011,2011,millions,1.2,,,"Global | FAO, Statistics Division | Estimated data | 2010-2012"
9,SDGB,SDG Indicators,32,Argentina,6132,Value,SN_ITK_DEFCN,2.1.1 Number of undernourished people (millions),2012,2012,millions,1.2,,,"Global | FAO, Statistics Division | Estimated data | 2011-2013"
10,SDGB,SDG Indicators,32,Argentina,6132,Value,SN_ITK_DEFCN,2.1.1 Number of undernourished people (millions),2013,2013,millions,1.1,,,"Global | FAO, Statistics Division | Estimated data | 2012-2014"
11,SDGB,SDG Indicators,32,Argentina,6132,Value,SN_ITK_DEFCN,2.1.1 Number of undernourished people (millions),2014,2014,millions,N,,,"Global | FAO, Statistics Division | Estimated data | 2013-2015"
12,SDGB,SDG Indicators,32,Argentina,6132,Value,SN_ITK_DEFCN,2.1.1 Number of undernourished people (millions),2015,2015,millions,N,,,"Global | FAO, Statistics Division | Estimated data | 2014-2016"
13,SDGB,SDG Indicators,32,Argentina,6132,Value,SN_ITK_DEFCN,2.1.1 Number of undernourished people (millions),2016,2016,millions,1.1,,,"Global | FAO, Statistics Division | Estimated data | 2015-2017"
14,SDGB,SDG Indicators,32,Argentina,6132,Value,SN_ITK_DEFCN,2.1.1 Number of undernourished people (millions),2017,2017,millions,1.4,,,"Global | FAO, Statistics Division | Estimated data | 2016-2018"
15,SDGB,SDG Indicators,32,Argentina,6132,Value,SN_ITK_DEFCN,2.1.1 Number of undernourished people (millions),2018,2018,millions,1.5,,,"Global | FAO, Statistics Division | Estimated data | 2017-2019"
16,SDGB,SDG Indicators,32,Argentina,6132,Value,SN_ITK_DEFCN,2.1.1 Number of undernourished people (millions),2019,2019,millions,1.6,,,"Global | FAO, Statistics Division | Estimated data | 2018-2020"
17,SDGB,SDG Indicators,32,Argentina,6132,Value,SN_ITK_DEFCN,2.1.1 Number of undernourished people (millions),2020,2020,millions,1.7,,,"Global | FAO, Statistics Division | Estimates are based on projected values | Estimated data | 2019-2021"
18,SDGB,SDG Indicators,32,Argentina,6121,Value,SN_ITK_DEFC,2.1.1 Prevalence of undernourishment (%),2003,2003,%,4.5,,,"Global | FAO, Statistics Division | Estimated data | 2002-2004"
19,SDGB,SDG Indicators,32,Argentina,6121,Value,SN_ITK_DEFC,2.1.1 Prevalence of undernourishment (%),2004,2004,%,4,,,"Global | FAO, Statistics Division | Estimated data | 2003-2005"
20,SDGB,SDG Indicators,32,Argentina,6121,Value,SN_ITK_DEFC,2.1.1 Prevalence of undernourishment (%),2005,2005,%,3.7,,,"Global | FAO, Statistics Division | Estimated data | 2004-2006"
21,SDGB,SDG Indicators,32,Argentina,6121,Value,SN_ITK_DEFC,2.1.1 Prevalence of undernourishment (%),2006,2006,%,3.4,,,"Global | FAO, Statistics Division | Estimated data | 2005-2007"
22,SDGB,SDG Indicators,32,Argentina,6121,Value,SN_ITK_DEFC,2.1.1 Prevalence of undernourishment (%),2007,2007,%,3.3,,,"Global | FAO, Statistics Division | Estimated data | 2006-2008"
23,SDGB,SDG Indicators,32,Argentina,6121,Value,SN_ITK_DEFC,2.1.1 Prevalence of undernourishment (%),2008,2008,%,3.3,,,"Global | FAO, Statistics Division | Estimated data | 2007-2009"
24,SDGB,SDG Indicators,32,Argentina,6121,Value,SN_ITK_DEFC,2.1.1 Prevalence of undernourishment (%),2009,2009,%,3.2,,,"Global | FAO, Statistics Division | Estimated data | 2008-2010"
