,Domain,Area,Element Code,Item,Year,Unit,Value,Note
0,SDG Indicators,Argentina,6132,2.1.1 Number of undernourished people (millions),2003,millions,1.7,"Global | FAO, Statistics Division | Estimated data | 2002-2004"
1,SDG Indicators,Argentina,6132,2.1.1 Number of undernourished people (millions),2004,millions,1.6,"Global | FAO, Statistics Division | Estimated data | 2003-2005"
2,SDG Indicators,Argentina,6132,2.1.1 Number of undernourished people (millions),2005,millions,1.4,"Global | FAO, Statistics Division | Estimated data | 2004-2006"
3,SDG Indicators,Argentina,6132,2.1.1 Number of undernourished people (millions),2006,millions,1.3,"Global | FAO, Statistics Division | Estimated data | 2005-2007"
4,SDG Indicators,Argentina,6132,2.1.1 Number of undernourished people (millions),2007,millions,1.3,"Global | FAO, Statistics Division | Estimated data | 2006-2008"
5,SDG Indicators,Argentina,6132,2.1.1 Number of undernourished people (millions),2008,millions,1.3,"Global | FAO, Statistics Division | Estimated data | 2007-2009"
6,SDG Indicators,Argentina,6132,2.1.1 Number of undernourished people (millions),2009,millions,1.3,"Global | FAO, Statistics Division | Estimated data | 2008-2010"
7,SDG Indicators,Argentina,6132,2.1.1 Number of undernourished people (millions),2010,millions,1.3,"Global | FAO, Statistics Division | Estimated data | 2009-2011"
8,SDG Indicators,Argentina,6132,2.1.1 Number of undernourished people (millions),2011,millions,1.2,"Global | FAO, Statistics Division | Estimated data | 2010-2012"
9,SDG Indicators,Argentina,6132,2.1.1 Number of undernourished people (millions),2012,millions,1.2,"Global | FAO, Statistics Division | Estimated data | 2011-2013"
10,SDG Indicators,Argentina,6132,2.1.1 Number of undernourished people (millions),2013,millions,1.1,"Global | FAO, Statistics Division | Estimated data | 2012-2014"
11,SDG Indicators,Argentina,6132,2.1.1 Number of undernourished people (millions),2014,millions,N,"Global | FAO, Statistics Division | Estimated data | 2013-2015"
12,SDG Indicators,Argentina,6132,2.1.1 Number of undernourished people (millions),2015,millions,N,"Global | FAO, Statistics Division | Estimated data | 2014-2016"
13,SDG Indicators,Argentina,6132,2.1.1 Number of undernourished people (millions),2016,millions,1.1,"Global | FAO, Statistics Division | Estimated data | 2015-2017"
14,SDG Indicators,Argentina,6132,2.1.1 Number of undernourished people (millions),2017,millions,1.4,"Global | FAO, Statistics Division | Estimated data | 2016-2018"
15,SDG Indicators,Argentina,6132,2.1.1 Number of undernourished people (millions),2018,millions,1.5,"Global | FAO, Statistics Division | Estimated data | 2017-2019"
16,SDG Indicators,Argentina,6132,2.1.1 Number of undernourished people (millions),2019,millions,1.6,"Global | FAO, Statistics Division | Estimated data | 2018-2020"
