,Ámbito,Código área (ISO3),Área,Elemento,Producto,Año,Unidad,Valor,Nota
0,Indicadores ODS,ARG,Argentina,Valor,2.1.1 Number of undernourished people (millions),2008,millones,1.3,"Global | FAO, Statistics Division | Estimated data | 2007-2009"
1,Indicadores ODS,ARG,Argentina,Valor,2.1.1 Number of undernourished people (millions),2009,millones,1.3,"Global | FAO, Statistics Division | Estimated data | 2008-2010"
2,Indicadores ODS,ARG,Argentina,Valor,2.1.1 Number of undernourished people (millions),2010,millones,1.3,"Global | FAO, Statistics Division | Estimated data | 2009-2011"
3,Indicadores ODS,ARG,Argentina,Valor,2.1.1 Number of undernourished people (millions),2011,millones,1.2,"Global | FAO, Statistics Division | Estimated data | 2010-2012"
4,Indicadores ODS,ARG,Argentina,Valor,2.1.1 Number of undernourished people (millions),2012,millones,1.2,"Global | FAO, Statistics Division | Estimated data | 2011-2013"
5,Indicadores ODS,ARG,Argentina,Valor,2.1.1 Number of undernourished people (millions),2013,millones,1.1,"Global | FAO, Statistics Division | Estimated data | 2012-2014"
6,Indicadores ODS,ARG,Argentina,Valor,2.1.1 Number of undernourished people (millions),2014,millones,N,"Global | FAO, Statistics Division | Estimated data | 2013-2015"
7,Indicadores ODS,ARG,Argentina,Valor,2.1.1 Number of undernourished people (millions),2015,millones,N,"Global | FAO, Statistics Division | Estimated data | 2014-2016"
8,Indicadores ODS,ARG,Argentina,Valor,2.1.1 Number of undernourished people (millions),2016,millones,1.1,"Global | FAO, Statistics Division | Estimated data | 2015-2017"
9,Indicadores ODS,ARG,Argentina,Valor,2.1.1 Number of undernourished people (millions),2017,millones,1.4,"Global | FAO, Statistics Division | Estimated data | 2016-2018"
10,Indicadores ODS,ARG,Argentina,Valor,2.1.1 Number of undernourished people (millions),2018,millones,1.5,"Global | FAO, Statistics Division | Estimated data | 2017-2019"
11,Indicadores ODS,ARG,Argentina,Valor,2.1.1 Number of undernourished people (millions),2019,millones,1.6,"Global | FAO, Statistics Division | Estimated data | 2018-2020"
12,Indicadores ODS,ARG,Argentina,Valor,2.1.1 Number of undernourished people (millions),2020,millones,1.7,"Global | FAO, Statistics Division | Estimates are based on projected values | Estimated data | 2019-2021"
13,Indicadores ODS,ARG,Argentina,Valor,2.1.1 Prevalence of undernourishment (%),2008,%,3.3,"Global | FAO, Statistics Division | Estimated data | 2007-2009"
14,Indicadores ODS,ARG,Argentina,Valor,2.1.1 Prevalence of undernourishment (%),2009,%,3.2,"Global | FAO, Statistics Division | Estimated data | 2008-2010"
15,Indicadores ODS,ARG,Argentina,Valor,2.1.1 Prevalence of undernourishment (%),2010,%,3.1,"Global | FAO, Statistics Division | Estimated data | 2009-2011"
16,Indicadores ODS,ARG,Argentina,Valor,2.1.1 Prevalence of undernourishment (%),2011,%,2.9,"Global | FAO, Statistics Division | Estimated data | 2010-2012"
17,Indicadores ODS,ARG,Argentina,Valor,2.1.1 Prevalence of undernourishment (%),2012,%,2.8,"Global | FAO, Statistics Division | Estimated data | 2011-2013"
18,Indicadores ODS,ARG,Argentina,Valor,2.1.1 Prevalence of undernourishment (%),2013,%,2.6,"Global | FAO, Statistics Division | Estimated data | 2012-2014"
19,Indicadores ODS,ARG,Argentina,Valor,2.1.1 Prevalence of undernourishment (%),2014,%,<2.5,"Global | FAO, Statistics Division | Estimated data | 2013-2015"
20,Indicadores ODS,ARG,Argentina,Valor,2.1.1 Prevalence of undernourishment (%),2015,%,<2.5,"Global | FAO, Statistics Division | Estimated data | 2014-2016"
21,Indicadores ODS,ARG,Argentina,Valor,2.1.1 Prevalence of undernourishment (%),2016,%,2.6,"Global | FAO, Statistics Division | Estimated data | 2015-2017"
22,Indicadores ODS,ARG,Argentina,Valor,2.1.1 Prevalence of undernourishment (%),2017,%,3.1,"Global | FAO, Statistics Division | Estimated data | 2016-2018"
23,Indicadores ODS,ARG,Argentina,Valor,2.1.1 Prevalence of undernourishment (%),2018,%,3.4,"Global | FAO, Statistics Division | Estimated data | 2017-2019"
24,Indicadores ODS,ARG,Argentina,Valor,2.1.1 Prevalence of undernourishment (%),2019,%,3.5,"Global | FAO, Statistics Division | Estimated data | 2018-2020"
25,Indicadores ODS,ARG,Argentina,Valor,2.1.1 Prevalence of undernourishment (%),2020,%,3.7,"Global | FAO, Statistics Division | Estimates are based on projected values | Estimated data | 2019-2021"
26,Indicadores ODS,ARG,Argentina,Valor,2.1.2 Population in severe food insecurity (thousands of people),2015,1000 personas,2477.3,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2014-2016. | Global monitoring data | 2014-2016 | ALLAGE
27,Indicadores ODS,ARG,Argentina,Valor,2.1.2 Population in severe food insecurity (thousands of people),2016,1000 personas,3759.6,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2015-2017. | Global monitoring data | 2015-2017 | ALLAGE
28,Indicadores ODS,ARG,Argentina,Valor,2.1.2 Population in severe food insecurity (thousands of people),2017,1000 personas,4926.3,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2016-2018. | Global monitoring data | 2016-2018 | ALLAGE
29,Indicadores ODS,ARG,Argentina,Valor,2.1.2 Population in severe food insecurity (thousands of people),2018,1000 personas,5715.4,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2017-2019. | Global monitoring data | 2017-2019 | ALLAGE
30,Indicadores ODS,ARG,Argentina,Valor,2.1.2 Population in severe food insecurity (thousands of people),2019,1000 personas,5659.1,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2018-2020. | Global monitoring data | 2018-2020 | ALLAGE
31,Indicadores ODS,ARG,Argentina,Valor,2.1.2 Population in severe food insecurity (thousands of people),2020,1000 personas,5869.2,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2019-2021. | Global monitoring data | 2019-2021 | ALLAGE
32,Indicadores ODS,ARG,Argentina,Valor,2.1.2 Population in severe food insecurity (thousands of people) (female),2015,1000 personas,959.1,Global | Food and Agriculture Organization of the United Nations (FAO) | The observation represents the 3-year average of the period 2014-2016. | Global monitoring data | 2014-2016 | 15+
